id,fruit,is_orange,pole_to_pole_in_cm,circumference_in_cm,weight_in_gm
1,orange,1,22.5,23.6,167
2,orange,1,23.6,25.1,195
3,orange,1,22.8,24.5,160
4,orange,1,23.9,23.9,156
5,orange,1,22.5,23.7,164
6,orange,1,22.8,23.7,163
7,orange,1,23.6,24.4,182
8,orange,1,20.5,21.1,122
9,orange,1,21.9,22,145
10,orange,1,19.8,21,125
11,orange,1,22.1,22.4,160
12,orange,1,22.1,22,153
13,orange,1,23.8,22.4,173
14,orange,1,20.7,21.8,132
15,orange,1,23.3,23.1,174
16,orange,1,23,23.4,179
17,orange,1,20.8,20.7,128
18,orange,1,23.1,22.3,160
19,orange,1,19.3,20.5,120
20,orange,1,23.7,22.8,172
21,orange,1,22.4,23,165
22,orange,1,20.3,20.7,133
23,orange,1,21.5,22.3,148
24,orange,1,22.1,22.5,160
25,orange,1,21.5,22,166
26,orange,1,22.3,22.7,175
27,orange,1,22.2,21.4,142
28,orange,1,21.9,22,156
29,orange,1,23.8,24.2,165
30,orange,1,21.7,22.3,143
31,orange,1,23.3,24.1,172
32,orange,1,23,23.5,164
33,orange,1,23.3,24,192
34,orange,1,23,24.2,167
35,orange,1,23.5,24,178
36,orange,1,23.8,24.4,190
37,orange,1,23.2,24,161
38,orange,1,21.6,22.6,149
39,orange,1,22,23.9,181
40,orange,1,22.9,23.8,162
41,orange,1,22.4,24.9,188
42,orange,1,22.3,23.5,189
43,orange,1,22.6,23.9,184
44,orange,1,20.3,21.4,140
45,orange,1,22,23.2,170
46,orange,1,21.8,24.3,180
47,orange,1,22.4,24.8,202
48,orange,1,22.1,23.9,163
49,orange,1,22.5,23.5,177
50,orange,1,20.6,21.8,123
51,orange,1,22.3,23,155
52,orange,1,22.6,24.9,200
53,orange,1,23.7,24.4,193
54,orange,1,24.5,25.7,229
55,orange,1,21.1,22.3,165
56,orange,1,23.1,24.4,189
57,orange,1,22.5,24.5,175
58,orange,1,26,27.7,242
59,orange,1,23.2,25.1,192
60,orange,1,21.4,22.9,167
61,orange,1,23.2,24.2,182
62,orange,1,24.7,26.2,238
63,orange,1,22.5,24.2,132
64,orange,1,25.1,25.7,218
65,orange,1,21.7,23.3,159
66,orange,1,22.8,23.5,176
67,orange,1,22.1,23.3,176
68,orange,1,19.9,20.5,122
69,orange,1,21.2,21,132
70,orange,1,19.4,19.8,114
71,orange,1,21.1,21.5,143
72,orange,1,21.7,21.6,151
73,orange,1,20.3,20.8,123
74,orange,1,21.4,22.7,150
75,orange,1,21.6,21.7,149
76,orange,1,25.8,27.4,250
77,orange,1,24.1,26.3,215
78,orange,1,24.7,26.7,239
79,orange,1,24.9,26.3,234
80,orange,1,25.4,27.2,241
81,guava,0,24,23.7,206
82,guava,0,22,26,295
83,guava,0,22,23,240
84,guava,0,21,20,133
85,guava,0,26.67,27.47,294.67
86,guava,0,22.1,22.8,177.33
87,guava,0,20.07,19.73,126.33
88,guava,0,20.73,21.17,142.33
89,guava,0,19.47,20.1,131
90,guava,0,27,27,317
91,guava,0,22.7,22.5,182
92,guava,0,20.3,20.5,126
93,guava,0,20,20.5,136
94,guava,0,20,19.5,134
95,guava,0,22,21,120
96,guava,0,27.5,27.8,318
97,guava,0,23,24.8,217
98,guava,0,23.2,23,186
99,guava,0,20,21.3,141
100,guava,0,21.1,20.2,166
101,guava,0,29.33,30.13,365
102,guava,0,22.37,22.5,172
103,guava,0,21.23,21.33,152
104,guava,0,21.13,21.67,148
105,guava,0,18,18.77,93
106,guava,0,27.5,27.5,314
107,guava,0,20,19,112
108,guava,0,18,18.5,93